epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,372.752,0.74693,1.14344,1.11379,0.5553,0.5,0.41424,0.21248,2.08532,3.64028,2.39069,0.000267488,0.000267488,0.000267488
83,378.436,0.73412,1.29079,1.10082,0.5553,0.5,0.41424,0.21248,2.08532,3.64028,2.39069,0.000257258,0.000257258,0.000257258
84,383.689,1.05868,1.4989,1.14248,0.48909,0.5,0.41608,0.21299,2.03621,3.54431,2.39591,0.000246698,0.000246698,0.000246698
85,388.23,0.84837,1.37781,1.1751,0.48909,0.5,0.41608,0.21299,2.03621,3.54431,2.39591,0.000235807,0.000235807,0.000235807
86,392.937,0.78718,1.40783,1.12778,0.48909,0.5,0.41608,0.21299,2.03621,3.54431,2.39591,0.000224587,0.000224587,0.000224587
87,398.459,0.77236,1.29665,1.07068,0.48909,0.5,0.41608,0.21299,2.03621,3.54431,2.39591,0.000213036,0.000213036,0.000213036
88,403.156,0.79663,1.26051,1.0597,0.43876,0.5,0.39561,0.19755,2.10286,3.34459,2.53104,0.000201155,0.000201155,0.000201155
89,408.445,0.61094,1.00446,0.96138,0.43876,0.5,0.39561,0.19755,2.10286,3.34459,2.53104,0.000188944,0.000188944,0.000188944
90,415.319,0.58416,0.97811,1.01035,0.43876,0.5,0.39561,0.19755,2.10286,3.34459,2.53104,0.000176404,0.000176404,0.000176404
91,419.906,0.68822,1.72203,1.17133,0.43876,0.5,0.39561,0.19755,2.10286,3.34459,2.53104,0.000163533,0.000163533,0.000163533
92,424.571,0.6739,1.74469,1.062,0.46395,0.5,0.43821,0.19995,2.09722,3.23956,2.58529,0.000150332,0.000150332,0.000150332
93,429.055,0.60459,1.62562,1.16966,0.46395,0.5,0.43821,0.19995,2.09722,3.23956,2.58529,0.000136801,0.000136801,0.000136801
94,433.852,0.68683,1.66218,0.99745,0.46395,0.5,0.43821,0.19995,2.09722,3.23956,2.58529,0.00012294,0.00012294,0.00012294
95,438.506,0.58989,1.62964,1.0186,0.46395,0.5,0.43821,0.19995,2.09722,3.23956,2.58529,0.000108748,0.000108748,0.000108748
96,443.653,0.66142,1.71171,1.1399,0.46204,0.5,0.47446,0.17728,2.02778,3.29859,2.54559,9.42272e-05,9.42272e-05,9.42272e-05
97,448.378,0.80864,1.74489,1.17798,0.46204,0.5,0.47446,0.17728,2.02778,3.29859,2.54559,7.93759e-05,7.93759e-05,7.93759e-05
98,453.113,0.5564,1.62977,1.0573,0.46204,0.5,0.47446,0.17728,2.02778,3.29859,2.54559,6.41945e-05,6.41945e-05,6.41945e-05
99,457.62,0.54404,1.57102,1.01151,0.46204,0.5,0.47446,0.17728,2.02778,3.29859,2.54559,4.86831e-05,4.86831e-05,4.86831e-05
100,462.455,0.59836,1.62471,0.96673,0.48959,0.5,0.4772,0.19961,2.00026,3.2043,2.48156,3.28416e-05,3.28416e-05,3.28416e-05
